Sep 2026 Prices - 21 August 2026

Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
30000	C	0.00	0.00	0.00	0.00	N/A	22730.00	0	1
30000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	100
30500	C	0.00	0.00	0.00	0.00	N/A	22231.00	0	0
30500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	43
31000	C	0.00	0.00	0.00	0.00	N/A	21732.00	0	0
31000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	17
31500	C	0.00	0.00	0.00	0.00	N/A	21233.00	0	0
31500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	22
32000	C	0.00	0.00	0.00	0.00	N/A	20734.00	0	0
32000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	79
32500	C	0.00	0.00	0.00	0.00	N/A	20235.00	0	0
32500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	43
33000	C	0.00	0.00	0.00	0.00	N/A	19736.00	0	1
33000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	751
33500	C	0.00	0.00	0.00	0.00	N/A	19237.00	0	0
33500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	1
34000	C	0.00	0.00	0.00	0.00	N/A	18738.00	0	0
34000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	23
34500	C	0.00	0.00	0.00	0.00	N/A	18239.00	0	0
34500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	14
35000	C	0.00	0.00	0.00	0.00	N/A	17740.00	0	1
35000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	68
35500	C	0.00	0.00	0.00	0.00	N/A	17241.00	0	0
35500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	38
36000	C	0.00	0.00	0.00	0.00	N/A	16743.00	0	13
36000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	154
36500	C	0.00	0.00	0.00	0.00	N/A	16244.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	1.00	0	50
37000	C	0.00	0.00	0.00	0.00	N/A	15745.00	0	0
37000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	813
37500	C	0.00	0.00	0.00	0.00	N/A	15247.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	2.00	0	36
38000	C	0.00	0.00	0.00	0.00	N/A	14749.00	0	2
